Frequency;;nTaskUserLoopNoneCompensateNone;nTaskManualLoopNoneCompensateNone;nExclusiveGatewayNoMarker;nExclusiveGatewayMarker;nParallelGateway;nInclusiveGateway;nEventBasedGateway;nComplexGateway;nStartMultipleEventDefinition;nStartNoneEventDefinition;nStartSignalEventDefinition;nStartConditionalEventDefinition;nStartTimerEventDefinition;nEndNoneEventDefinition;nEndTerminateEventDefinition;nIntermediateCatchMultipleEventDefinition;nIntermediateCatchMessageEventDefinition;nIntermediateCatchTimerEventDefinition;nIntermediateCatchConditionalEventDefinition;nIntermediateCatchLinkEventDefinition;nIntermediateCatchSignalEventDefinition;nIntermediateThrowNoneEventDefinition;nIntermediateThrowLinkEventDefinition;nIntermediateBoundaryMessageEvent;nIntermediateBoundaryTimerEvent;nIntermediateBoundaryCancelEvent;nIntermediateBoundaryConditionalEvent;nSequenceFlow;nDefaultFlow;nConditionalFlow;nChoreographyTask;nChoreographyMessage;nChoreographyTaskSequentialMultipleInstance;nChoreographyTaskParallelMultipleInstance;nChoreographyTaskLoop;nChoreographySubprocessCollapsed;nChoreographySubprocessCollapsedParallelMultipleInstance;nChoreographySubprocessCollapsedCall;nChoreographySubprocessExpanded;nChoreographySubprocessExpandedSequentialMultipleInstance;nChoreographySubprocessExpandedParallelMultipleInstance;nChoreographyParticipant;nChoreographyParticipantMultiple;nAssociationUndirected;nAssociationUnidirectional;nGroup;nTextAnnotation
6;nComplexGateway;-0,003926574;-0,003926574;-0,003926574;0,092183963;0,017008493;-0,010308409;0,018519636;1;-0,005558144;0,047478022;-0,003926574;-0,014316839;0,053278061;0,010388108;0,087249588;0,042491934;0,037756042;0,017876297;-0,007642799;-0,013527767;-0,008423165;-0,008938861;-0,012121851;-0,005558144;-0,008356546;-0,005558144;-0,00631493;0,126342683;-0,017043644;-0,011131602;0,10418205;0,095942883;-0,003926574;-0,010596887;0,116556632;-0,028622372;-0,007438193;-0,006813608;-0,021925696;-0,003926574;-0,006813608;0,1066863;-0,013020922;0,16989301;-0,007690605;-0,010615516;0,137741643
5;nChoreographySubprocessCollapsedParallelMultipleInstance;-0,003495058;-0,003495058;-0,003495058;-0,009522073;-0,034086139;-0,009175553;0,081752307;-0,007438193;-0,004947324;-0,044719662;-0,003495058;-0,012743472;0,133876151;0,110337355;-0,010745572;-0,00751435;-0,010471682;0,066312251;-0,006802884;-0,012041116;-0,007497491;0,568095022;-0,010789704;-0,004947324;-0,007438193;0,532332091;-0,005620942;0,017638679;-0,01517061;0,103359003;-0,065207444;-0,054721708;-0,003495058;-0,009432328;0,126647851;0,093667148;1;-0,006064818;-0,019516143;-0,003495058;0,433027992;-0,008757121;0,0696146;-0,025287801;-0,006845436;-0,00944891;-0,0175064
3;nChoreographySubprocessCollapsedCall;-0,003201578;-0,003201578;-0,003201578;-0,032382599;-0,031223929;-0,008405083;-0,02760506;-0,006813608;-0,004531898;0,015277552;-0,003201578;-0,011673403;-0,013126026;-0,001819075;-0,009843267;-0,006883371;-0,009592376;-0,018401757;-0,006231646;-0,011030024;-0,006867927;-0,007288405;-0,009883694;-0,004531898;-0,006813608;-0,004531898;-0,005148952;-0,044928986;-0,013896736;-0,009076282;-0,076091334;-0,061493953;-0,003201578;-0,008640296;-0,009851274;-0,023337588;-0,006064818;1;-0,017877374;-0,003201578;-0,005555556;-0,076233891;-0,010616762;-0,023164387;-0,006270625;-0,008655486;-0,006163646
3;nChoreographySubprocessExpandedParallelMultipleInstance;-0,003201578;-0,003201578;-0,003201578;0,010635753;-0,031223929;-0,008405083;0,057805467;-0,006813608;-0,004531898;0,062145975;-0,003201578;-0,011673403;0,100007813;0,183385464;-0,009843267;-0,006883371;-0,009592376;0,047553055;-0,006231646;-0,011030024;-0,006867927;0,432445373;-0,009883694;-0,004531898;-0,006813608;0,405604858;-0,005148952;0,04097397;-0,013896736;-0,009076282;-0,024968352;-0,023603211;-0,003201578;-0,008640296;0,095035822;0,037295475;0,433027992;-0,005555556;-0,017877374;-0,003201578;1;0,013903533;0,175347813;0,032590321;-0,006270625;-0,008655486;0,043200069
2;nTaskManualLoopNoneCompensateNone;1;1;-0,001845018;0,006129215;0,189892573;-0,004843715;-0,015908356;-0,003926574;-0,002611661;0,00880421;-0,001845018;-0,006727196;-0,007564319;-0,01290724;-0,005672518;-0,003966777;-0,005527933;-0,010604639;-0,003591198;-0,006356427;-0,003957877;-0,004200192;-0,005695815;-0,002611661;-0,003926574;-0,002611661;-0,002967259;0,045614648;-0,008008467;-0,005230517;0,032749313;-0,035437985;-0,001845018;-0,004979265;-0,005677132;-0,01344908;-0,003495058;-0,003201578;-0,010302446;-0,001845018;-0,003201578;0,033282809;0,422555412;-0,013349267;-0,003613661;-0,004988019;0,041964025
2;nStartMultipleEventDefinition;-0,002611661;-0,002611661;-0,002611661;-0,043961763;0,011312766;-0,006856376;-0,022518596;-0,005558144;1;-0,102235034;-0,002611661;-0,009522481;-0,010707445;-0,018270456;-0,008029563;-0,005615052;-0,0078249;-0,015011079;-0,005083413;-0,00899765;-0,005602454;-0,005945455;-0,00806254;-0,003696858;-0,005558144;-0,003696858;-0,004200215;-0,034703926;-0,011336145;-0,007403901;-0,028708352;0,001995854;-0,002611661;-0,007048249;-0,008036094;-0,019037441;-0,004947324;-0,004531898;-0,014583318;-0,002611661;-0,004531898;-0,030390899;-0,008660535;0,022037137;-0,00511521;-0,00706064;0,035240094
2;nIntermediateBoundaryMessageEvent;-0,002611661;-0,002611661;-0,002611661;0,17974884;-0,025470658;-0,006856376;0,081990785;-0,005558144;-0,003696858;0,012462535;-0,002611661;-0,009522481;-0,010707445;0,006909386;-0,008029563;-0,005615052;0,041581155;0,025340485;-0,005083413;-0,00899765;-0,005602454;-0,005945455;0,096174587;1;-0,005558144;-0,003696858;-0,004200215;0,140482613;-0,011336145;-0,007403901;0,115167496;-0,050163177;-0,002611661;-0,007048249;0,120305059;-0,019037441;-0,004947324;-0,004531898;-0,014583318;-0,002611661;-0,004531898;0,112692264;-0,008660535;-0,018896154;-0,00511521;-0,00706064;-0,01308155
2;nIntermediateBoundaryCancelEvent;-0,002611661;-0,002611661;-0,002611661;0,061313815;-0,025470658;-0,006856376;0,081990785;-0,005558144;-0,003696858;0,012462535;-0,002611661;-0,009522481;0,127724525;0,157988435;-0,008029563;-0,005615052;-0,0078249;0,065692048;0,389244196;-0,00899765;-0,005602454;0,532118258;-0,00806254;-0,003696858;-0,005558144;1;-0,004200215;0,076247548;-0,011336145;-0,007403901;-0,003686466;0,007791302;-0,002611661;-0,007048249;0,120305059;0,079884383;0,532332091;-0,004531898;0,067903574;-0,002611661;0,405604858;0,038169783;0,067188987;0,008392707;-0,00511521;-0,00706064;-0,01308155
1;nTaskUserLoopNoneCompensateNone;1;1;-0,001845018;0,006129215;0,189892573;-0,004843715;-0,015908356;-0,003926574;-0,002611661;0,00880421;-0,001845018;-0,006727196;-0,007564319;-0,01290724;-0,005672518;-0,003966777;-0,005527933;-0,010604639;-0,003591198;-0,006356427;-0,003957877;-0,004200192;-0,005695815;-0,002611661;-0,003926574;-0,002611661;-0,002967259;0,045614648;-0,008008467;-0,005230517;0,032749313;-0,035437985;-0,001845018;-0,004979265;-0,005677132;-0,01344908;-0,003495058;-0,003201578;-0,010302446;-0,001845018;-0,003201578;0,033282809;0,422555412;-0,013349267;-0,003613661;-0,004988019;0,041964025
1;nExclusiveGatewayNoMarker;-0,001845018;-0,001845018;1;-0,031056971;-0,017993853;-0,004843715;-0,015908356;-0,003926574;-0,002611661;0,00880421;-0,001845018;-0,006727196;-0,007564319;-0,01290724;-0,005672518;-0,003966777;-0,005527933;-0,010604639;-0,003591198;-0,006356427;-0,003957877;-0,004200192;-0,005695815;-0,002611661;-0,003926574;-0,002611661;-0,002967259;-0,016265983;0,086526266;-0,005230517;-0,002604319;0,021881071;-0,001845018;-0,004979265;-0,005677132;-0,01344908;-0,003495058;-0,003201578;-0,010302446;-0,001845018;-0,003201578;-0,004622828;-0,006118271;-0,013349267;-0,003613661;-0,004988019;-0,009241516
1;nStartSignalEventDefinition;-0,001845018;-0,001845018;-0,001845018;-0,031056971;-0,017993853;-0,004843715;-0,015908356;-0,003926574;-0,002611661;0,00880421;1;-0,006727196;0,188027366;-0,01290724;-0,005672518;-0,003966777;-0,005527933;0,046408421;-0,003591198;-0,006356427;0,130362569;-0,004200192;-0,005695815;-0,002611661;-0,003926574;-0,002611661;-0,002967259;-0,016265983;-0,008008467;-0,005230517;-0,011442727;-0,035437985;-0,001845018;-0,004979265;-0,005677132;-0,01344908;-0,003495058;-0,003201578;-0,010302446;-0,001845018;-0,003201578;-0,013046303;-0,006118271;-0,013349267;-0,003613661;-0,004988019;-0,009241516
1;nChoreographySubprocessExpandedSequentialMultipleInstance;-0,001845018;-0,001845018;-0,001845018;-0,031056971;0,08594936;-0,004843715;-0,015908356;-0,003926574;-0,002611661;0,00880421;-0,001845018;-0,006727196;-0,007564319;-0,01290724;-0,005672518;-0,003966777;-0,005527933;-0,010604639;-0,003591198;-0,006356427;-0,003957877;-0,004200192;-0,005695815;-0,002611661;-0,003926574;-0,002611661;-0,002967259;0,008486269;-0,008008467;-0,005230517;0,023910905;-0,035437985;-0,001845018;-0,004979265;-0,005677132;-0,01344908;-0,003495058;-0,003201578;-0,010302446;1;-0,003201578;0,037494546;-0,006118271;-0,013349267;-0,003613661;-0,004988019;-0,009241516
