Frequency;;nTaskUserLoopNoneCompensateNone;nTaskManualLoopNoneCompensateNone;nExclusiveGatewayNoMarker;nExclusiveGatewayMarker;nParallelGateway;nInclusiveGateway;nEventBasedGateway;nComplexGateway;nStartMultipleEventDefinition;nStartNoneEventDefinition;nStartSignalEventDefinition;nStartConditionalEventDefinition;nStartTimerEventDefinition;nEndNoneEventDefinition;nEndTerminateEventDefinition;nIntermediateCatchMultipleEventDefinition;nIntermediateCatchMessageEventDefinition;nIntermediateCatchTimerEventDefinition;nIntermediateCatchConditionalEventDefinition;nIntermediateCatchLinkEventDefinition;nIntermediateCatchSignalEventDefinition;nIntermediateThrowNoneEventDefinition;nIntermediateThrowLinkEventDefinition;nIntermediateBoundaryMessageEvent;nIntermediateBoundaryTimerEvent;nIntermediateBoundaryCancelEvent;nIntermediateBoundaryConditionalEvent;nSequenceFlow;nDefaultFlow;nConditionalFlow;nChoreographyTask;nChoreographyMessage;nChoreographyTaskSequentialMultipleInstance;nChoreographyTaskParallelMultipleInstance;nChoreographyTaskLoop;nChoreographySubprocessCollapsed;nChoreographySubprocessCollapsedParallelMultipleInstance;nChoreographySubprocessCollapsedCall;nChoreographySubprocessExpanded;nChoreographySubprocessExpandedSequentialMultipleInstance;nChoreographySubprocessExpandedParallelMultipleInstance;nChoreographyParticipant;nChoreographyParticipantMultiple;nAssociationUndirected;nAssociationUnidirectional;nGroup;nTextAnnotation
43;nIntermediateCatchMessageEventDefinition;-0,005527933;-0,005527933;-0,005527933;0,094799863;-0,017699494;-0,014512448;0,487351671;0,037756042;-0,0078249;0,020732761;-0,005527933;-0,020155621;-0,009035385;0,152204105;0,022026085;0,038142615;1;0,143018655;-0,010759732;-0,019044745;-0,011858352;0,000658484;-0,017065458;0,041581155;-0,011764564;-0,0078249;-0,008890323;0,250496693;-0,023994487;0,01036765;0,164016366;-0,054257001;-0,005527933;-0,014918574;0,058800221;-0,028121984;-0,010471682;-0,009592376;-0,030867568;-0,005527933;-0,009592376;0,160173541;-0,018331195;-0,035966463;-0,010827035;-0,014944801;-0,022931696
38;nConditionalFlow;-0,005230517;-0,005230517;-0,005230517;0,142216153;-0,004484213;-0,013731643;-0,045099237;-0,011131602;-0,007403901;-0,041535928;-0,005230517;-0,019071199;0,139066079;0,053650225;-0,016081249;-0,011245575;0,01036765;-0,030063517;-0,010180832;-0,018020091;-0,011220344;-0,011907292;-0,016147295;-0,007403901;-0,011131602;-0,007403901;-0,008412002;0,005899741;-0,022703525;1;-0,0100206;-0,054037112;-0,005230517;0,086738605;-0,01609433;0,139134533;0,103359003;-0,009076282;-0,029206817;-0,005230517;-0,009076282;0,023343052;-0,017344932;-0,003326745;-0,010244514;-0,014140734;-0,026199143
35;nAssociationUnidirectional;-0,003613661;-0,003613661;-0,003613661;0,065068773;-0,035242841;-0,009486923;-0,031158178;-0,007690605;-0,00511521;0,157809422;-0,003613661;-0,013175917;-0,01481551;0,03046454;0,145587165;-0,007769347;-0,010827035;-0,020770294;-0,007033737;-0,012449727;-0,007751916;-0,008226515;-0,011155849;-0,00511521;-0,007690605;-0,00511521;-0,005811687;0,100422169;-0,01568542;-0,010244514;0,015177706;-0,067576094;-0,003613661;-0,009752411;-0,011119257;0,579817515;-0,006845436;-0,006270625;0,625494886;-0,003613661;-0,006270625;0,165120152;-0,011983273;-0,023988299;1;-0,009769556;-0,018100474
34;nGroup;-0,004988019;-0,004988019;-0,004988019;0,155542564;0,071196482;0,070559014;0,003957026;-0,010615516;-0,00706064;-0,034184565;-0,004988019;-0,018187016;-0,020450183;-0,020750372;0,218451533;-0,010724205;-0,014944801;0,04839787;-0,009708826;0,017121461;0,064063179;-0,011355244;0,008022837;-0,00706064;-0,010615516;-0,00706064;-0,008022003;0,141033028;-0,02165094;-0,014140734;0,212228124;0,068271044;-0,004988019;-0,013461473;0,14325836;-0,019689277;-0,00944891;-0,008655486;-0,027852724;-0,004988019;-0,008655486;0,070891213;-0,016540782;0,118734505;-0,009769556;1;0,322458927
31;nChoreographyParticipantMultiple;0,422555412;0,422555412;-0,006118271;-0,047298268;0,062638604;-0,016062258;0,018326362;-0,013020922;-0,008660535;0,055198802;-0,006118271;-0,022308074;-0,004161411;0,033312042;-0,018810653;-0,013154239;-0,018331195;-0,022968579;-0,011908783;0,025073294;-0,013124726;0,067394843;0,044129814;-0,008660535;-0,013020922;0,067188987;-0,009839736;-0,014664348;-0,01644442;-0,017344932;-0,026599813;-0,029923429;-0,006118271;0,200404767;0,000571566;-0,025909688;0,0696146;-0,010616762;-0,034163969;-0,006118271;0,175347813;-0,012176034;1;0,085652527;-0,011983273;-0,016540782;0,03143264
22;nEndTerminateEventDefinition;-0,005672518;-0,005672518;-0,005672518;0,239707347;-0,026270013;-0,014892026;0,198719541;0,087249588;-0,008029563;0,208248766;-0,005672518;-0,020682797;-0,023256536;0,119416365;1;0,007871882;0,022026085;0,15861809;-0,011041157;-0,019542866;-0,012168512;-0,01291351;-0,017511811;-0,008029563;-0,01207227;-0,008029563;-0,009122852;0,283796461;0,622729163;-0,016081249;0,269906139;0,234346487;-0,005672518;-0,015308775;0,033228642;0,188158022;-0,010745572;-0,009843267;0,066049405;-0,005672518;-0,009843267;0,21945781;-0,018810653;0,169101377;0,145587165;0,218451533;0,20296378
21;nStartTimerEventDefinition;-0,007564319;-0,007564319;-0,007564319;0,006979144;0,068278614;-0,01985856;0,021262866;0,053278061;-0,010707445;-0,217013222;0,188027366;0,027277487;1;0,065159229;-0,023256536;-0,016263234;-0,009035385;0,034437661;-0,014723414;-0,026060469;0,009996834;0,205412417;-0,023352051;-0,010707445;-0,016098407;0,127724525;-0,01216535;0,023516882;-0,032833603;0,139066079;-0,007226276;-0,003011804;-0,007564319;-0,020414295;0,012126707;0,088117444;0,133876151;-0,013126026;0,003268463;-0,007564319;0,100007813;0,000781378;-0,004161411;0,253896279;-0,01481551;-0,020450183;0,252022137
21;nIntermediateThrowLinkEventDefinition;-0,005695815;-0,005695815;-0,005695815;0,038054803;-0,055549395;0,062376153;0,113693308;-0,012121851;-0,00806254;0,015268047;-0,005695815;-0,020767742;-0,023352051;-0,03984635;-0,017511811;0,008863744;-0,017065458;-0,024356641;-0,011086503;0,868323452;0,007527461;-0,012966546;1;0,096174587;-0,012121851;-0,00806254;-0,00916032;0,071075981;-0,010825995;-0,016147295;0,036136373;0,095236036;-0,005695815;0,117117316;0,0357885;0,004710983;-0,010789704;-0,009883694;-0,031805008;-0,005695815;-0,009883694;0,057550333;0,044129814;-0,00153445;-0,011155849;0,008022837;0,001580367
18;nIntermediateBoundaryTimerEvent;-0,003926574;-0,003926574;-0,003926574;0,166927061;0,207496823;-0,010308409;0,175647177;-0,008356546;-0,005558144;0,162441526;-0,003926574;-0,014316839;-0,016098407;0,149198335;-0,01207227;-0,008442106;-0,011764564;0,294251294;-0,007642799;-0,013527767;-0,008423165;-0,008938861;-0,012121851;-0,005558144;1;-0,005558144;-0,00631493;0,24291674;-0,017043644;-0,011131602;0,120901985;0,232451682;-0,003926574;0,602109223;0,459593225;-0,020359773;-0,007438193;-0,006813608;0,170989973;-0,003926574;-0,006813608;0,170426261;-0,013020922;0,030853004;-0,007690605;-0,010615516;0,032802
17;nChoreographyTaskLoop;-0,005677132;-0,005677132;-0,005677132;0,173666006;0,151584134;0,080307011;0,231682384;0,116556632;-0,008036094;0,071089203;-0,005677132;-0,020699621;0,012126707;0,101951463;0,033228642;-0,012205795;0,058800221;0,245992808;-0,011050138;0,019486856;0,012133636;0,124678724;0,0357885;0,120305059;0,459593225;0,120305059;-0,009130273;0,23145324;-0,024642099;-0,01609433;0,08637203;0,141433669;-0,005677132;0,310930788;1;-0,022409426;0,126647851;-0,009851274;0,052679078;-0,005677132;0,095035822;0,154249553;0,000571566;0,028711912;-0,011119257;0,14325836;0,027173124
